Time Species Cohort MigID DEN RN SN Leave Return CohortMigrating
0.000000e+00 HEP 0 0 0.000000e+00 0.000000e+00 0.000000e+00 182 258 1
0.000000e+00 HEP 0 1 0.000000e+00 0.000000e+00 0.000000e+00 182 258 0
0.000000e+00 HEP 0 2 0.000000e+00 0.000000e+00 0.000000e+00 547 623 1
0.000000e+00 HEP 0 3 0.000000e+00 0.000000e+00 0.000000e+00 547 623 0
0.000000e+00 HEP 0 4 0.000000e+00 0.000000e+00 0.000000e+00 626 624 0
0.000000e+00 HEP 1 0 0.000000e+00 0.000000e+00 0.000000e+00 182 258 1
0.000000e+00 HEP 1 1 0.000000e+00 0.000000e+00 0.000000e+00 182 258 0
0.000000e+00 HEP 1 2 0.000000e+00 0.000000e+00 0.000000e+00 547 623 1
0.000000e+00 HEP 1 3 0.000000e+00 0.000000e+00 0.000000e+00 547 623 0
0.000000e+00 HEP 1 4 0.000000e+00 0.000000e+00 0.000000e+00 626 624 0
0.000000e+00 HEP 2 0 0.000000e+00 0.000000e+00 0.000000e+00 182 258 1
0.000000e+00 HEP 2 1 0.000000e+00 0.000000e+00 0.000000e+00 182 258 0
0.000000e+00 HEP 2 2 0.000000e+00 0.000000e+00 0.000000e+00 547 623 1
0.000000e+00 HEP 2 3 0.000000e+00 0.000000e+00 0.000000e+00 547 623 0
0.000000e+00 HEP 2 4 0.000000e+00 0.000000e+00 0.000000e+00 626 624 0
0.000000e+00 HEP 3 0 0.000000e+00 0.000000e+00 0.000000e+00 182 258 0
0.000000e+00 HEP 3 1 0.000000e+00 0.000000e+00 0.000000e+00 182 258 1
0.000000e+00 HEP 3 2 0.000000e+00 0.000000e+00 0.000000e+00 547 623 0
0.000000e+00 HEP 3 3 0.000000e+00 0.000000e+00 0.000000e+00 547 623 1
0.000000e+00 HEP 3 4 0.000000e+00 0.000000e+00 0.000000e+00 626 624 0
0.000000e+00 HEP 4 0 0.000000e+00 0.000000e+00 0.000000e+00 182 258 0
0.000000e+00 HEP 4 1 0.000000e+00 0.000000e+00 0.000000e+00 182 258 1
0.000000e+00 HEP 4 2 0.000000e+00 0.000000e+00 0.000000e+00 547 623 0
0.000000e+00 HEP 4 3 0.000000e+00 0.000000e+00 0.000000e+00 547 623 1
0.000000e+00 HEP 4 4 0.000000e+00 0.000000e+00 0.000000e+00 626 624 0
0.000000e+00 HEP 5 0 0.000000e+00 0.000000e+00 0.000000e+00 182 258 0
0.000000e+00 HEP 5 1 0.000000e+00 0.000000e+00 0.000000e+00 182 258 1
0.000000e+00 HEP 5 2 0.000000e+00 0.000000e+00 0.000000e+00 547 623 0
0.000000e+00 HEP 5 3 0.000000e+00 0.000000e+00 0.000000e+00 547 623 1
0.000000e+00 HEP 5 4 0.000000e+00 0.000000e+00 0.000000e+00 626 624 0
0.000000e+00 HEP 6 0 0.000000e+00 0.000000e+00 0.000000e+00 182 258 0
0.000000e+00 HEP 6 1 0.000000e+00 0.000000e+00 0.000000e+00 182 258 1
0.000000e+00 HEP 6 2 0.000000e+00 0.000000e+00 0.000000e+00 547 623 0
0.000000e+00 HEP 6 3 0.000000e+00 0.000000e+00 0.000000e+00 547 623 1
0.000000e+00 HEP 6 4 0.000000e+00 0.000000e+00 0.000000e+00 626 624 0
0.000000e+00 HEC 0 0 0.000000e+00 0.000000e+00 0.000000e+00 182 258 1
0.000000e+00 HEC 0 1 0.000000e+00 0.000000e+00 0.000000e+00 182 258 0
0.000000e+00 HEC 0 2 0.000000e+00 0.000000e+00 0.000000e+00 547 623 1
0.000000e+00 HEC 0 3 0.000000e+00 0.000000e+00 0.000000e+00 547 623 0
0.000000e+00 HEC 0 4 0.000000e+00 0.000000e+00 0.000000e+00 626 624 0
0.000000e+00 HEC 1 0 0.000000e+00 0.000000e+00 0.000000e+00 182 258 1
0.000000e+00 HEC 1 1 0.000000e+00 0.000000e+00 0.000000e+00 182 258 0
0.000000e+00 HEC 1 2 0.000000e+00 0.000000e+00 0.000000e+00 547 623 1
0.000000e+00 HEC 1 3 0.000000e+00 0.000000e+00 0.000000e+00 547 623 0
0.000000e+00 HEC 1 4 0.000000e+00 0.000000e+00 0.000000e+00 626 624 0
0.000000e+00 HEC 2 0 0.000000e+00 0.000000e+00 0.000000e+00 182 258 0
0.000000e+00 HEC 2 1 0.000000e+00 0.000000e+00 0.000000e+00 182 258 1
0.000000e+00 HEC 2 2 0.000000e+00 0.000000e+00 0.000000e+00 547 623 0
0.000000e+00 HEC 2 3 0.000000e+00 0.000000e+00 0.000000e+00 547 623 1
0.000000e+00 HEC 2 4 0.000000e+00 0.000000e+00 0.000000e+00 626 624 0
0.000000e+00 HEC 3 0 0.000000e+00 0.000000e+00 0.000000e+00 182 258 0
0.000000e+00 HEC 3 1 0.000000e+00 0.000000e+00 0.000000e+00 182 258 1
0.000000e+00 HEC 3 2 0.000000e+00 0.000000e+00 0.000000e+00 547 623 0
0.000000e+00 HEC 3 3 0.000000e+00 0.000000e+00 0.000000e+00 547 623 1
0.000000e+00 HEC 3 4 0.000000e+00 0.000000e+00 0.000000e+00 626 624 0
0.000000e+00 HEC 4 0 0.000000e+00 0.000000e+00 0.000000e+00 182 258 0
0.000000e+00 HEC 4 1 0.000000e+00 0.000000e+00 0.000000e+00 182 258 1
0.000000e+00 HEC 4 2 0.000000e+00 0.000000e+00 0.000000e+00 547 623 0
0.000000e+00 HEC 4 3 0.000000e+00 0.000000e+00 0.000000e+00 547 623 1
0.000000e+00 HEC 4 4 0.000000e+00 0.000000e+00 0.000000e+00 626 624 0
0.000000e+00 HEC 5 0 0.000000e+00 0.000000e+00 0.000000e+00 182 258 0
0.000000e+00 HEC 5 1 0.000000e+00 0.000000e+00 0.000000e+00 182 258 1
0.000000e+00 HEC 5 2 0.000000e+00 0.000000e+00 0.000000e+00 547 623 0
0.000000e+00 HEC 5 3 0.000000e+00 0.000000e+00 0.000000e+00 547 623 1
0.000000e+00 HEC 5 4 0.000000e+00 0.000000e+00 0.000000e+00 626 624 0
0.000000e+00 CHY 0 0 0.000000e+00 1.334741e+03 3.537063e+03 -151 168 1
0.000000e+00 CHY 0 1 0.000000e+00 1.334741e+03 3.537063e+03 -151 533 1
0.000000e+00 CHY 0 2 0.000000e+00 1.334741e+03 3.537063e+03 -151 898 1
0.000000e+00 CHY 0 3 0.000000e+00 0.000000e+00 0.000000e+00 258 259 0
0.000000e+00 CHY 0 4 0.000000e+00 0.000000e+00 0.000000e+00 213 1263 1
0.000000e+00 CHY 0 5 0.000000e+00 0.000000e+00 0.000000e+00 623 624 0
0.000000e+00 CHY 0 6 0.000000e+00 0.000000e+00 0.000000e+00 1265 1264 0
0.000000e+00 CHY 0 7 0.000000e+00 0.000000e+00 0.000000e+00 1265 1264 0
0.000000e+00 CHY 1 0 0.000000e+00 6.072972e+03 1.609338e+04 -151 168 1
0.000000e+00 CHY 1 1 0.000000e+00 6.072972e+03 1.609338e+04 -151 533 1
0.000000e+00 CHY 1 2 6.246000e+03 6.072972e+03 1.609338e+04 -151 898 1
0.000000e+00 CHY 1 3 0.000000e+00 0.000000e+00 0.000000e+00 258 259 0
0.000000e+00 CHY 1 4 0.000000e+00 0.000000e+00 0.000000e+00 213 1263 1
0.000000e+00 CHY 1 5 0.000000e+00 0.000000e+00 0.000000e+00 623 624 0
0.000000e+00 CHY 1 6 0.000000e+00 0.000000e+00 0.000000e+00 1265 1264 0
0.000000e+00 CHY 1 7 0.000000e+00 0.000000e+00 0.000000e+00 1265 1264 0
0.000000e+00 CHY 2 0 0.000000e+00 1.216357e+04 3.223345e+04 -151 168 0
0.000000e+00 CHY 2 1 6.932000e+03 1.216357e+04 3.223345e+04 -151 533 0
0.000000e+00 CHY 2 2 6.860000e+02 1.216357e+04 3.223345e+04 -151 898 0
0.000000e+00 CHY 2 3 0.000000e+00 0.000000e+00 0.000000e+00 258 259 1
0.000000e+00 CHY 2 4 0.000000e+00 0.000000e+00 0.000000e+00 213 1263 0
0.000000e+00 CHY 2 5 0.000000e+00 0.000000e+00 0.000000e+00 623 624 1
0.000000e+00 CHY 2 6 0.000000e+00 0.000000e+00 0.000000e+00 1265 1264 0
0.000000e+00 CHY 2 7 0.000000e+00 0.000000e+00 0.000000e+00 1265 1264 0
0.000000e+00 CHY 3 0 6.932000e+03 1.782243e+04 4.722944e+04 -151 168 0
0.000000e+00 CHY 3 1 0.000000e+00 1.782243e+04 4.722944e+04 -151 533 0
0.000000e+00 CHY 3 2 0.000000e+00 1.782243e+04 4.722944e+04 -151 898 0
0.000000e+00 CHY 3 3 0.000000e+00 0.000000e+00 0.000000e+00 258 259 1
0.000000e+00 CHY 3 4 0.000000e+00 0.000000e+00 0.000000e+00 213 1263 0
0.000000e+00 CHY 3 5 0.000000e+00 0.000000e+00 0.000000e+00 623 624 1
0.000000e+00 CHY 3 6 0.000000e+00 0.000000e+00 0.000000e+00 1265 1264 0
0.000000e+00 CHY 3 7 0.000000e+00 0.000000e+00 0.000000e+00 1265 1264 0
0.000000e+00 CHY 4 0 0.000000e+00 2.236137e+04 5.925764e+04 -151 168 0
0.000000e+00 CHY 4 1 0.000000e+00 2.236137e+04 5.925764e+04 -151 533 0
0.000000e+00 CHY 4 2 0.000000e+00 2.236137e+04 5.925764e+04 -151 898 0
0.000000e+00 CHY 4 3 0.000000e+00 0.000000e+00 0.000000e+00 258 259 1
0.000000e+00 CHY 4 4 0.000000e+00 0.000000e+00 0.000000e+00 213 1263 0
0.000000e+00 CHY 4 5 0.000000e+00 0.000000e+00 0.000000e+00 623 624 1
0.000000e+00 CHY 4 6 0.000000e+00 0.000000e+00 0.000000e+00 1265 1264 0
0.000000e+00 CHY 4 7 0.000000e+00 0.000000e+00 0.000000e+00 1265 1264 0
0.000000e+00 CHS 0 0 0.000000e+00 1.521565e+03 4.032146e+03 -137 168 1
0.000000e+00 CHS 0 1 0.000000e+00 1.521565e+03 4.032146e+03 -137 533 1
0.000000e+00 CHS 0 2 0.000000e+00 1.521565e+03 4.032146e+03 -137 898 1
0.000000e+00 CHS 0 3 0.000000e+00 1.521565e+03 4.032146e+03 -137 1263 1
0.000000e+00 CHS 0 4 0.000000e+00 0.000000e+00 0.000000e+00 258 259 0
0.000000e+00 CHS 0 5 0.000000e+00 0.000000e+00 0.000000e+00 227 1628 1
0.000000e+00 CHS 0 6 0.000000e+00 0.000000e+00 0.000000e+00 623 624 0
0.000000e+00 CHS 0 7 0.000000e+00 0.000000e+00 0.000000e+00 1630 1629 0
0.000000e+00 CHS 1 0 0.000000e+00 6.454411e+03 1.710419e+04 -137 168 1
0.000000e+00 CHS 1 1 0.000000e+00 6.454411e+03 1.710419e+04 -137 533 1
0.000000e+00 CHS 1 2 0.000000e+00 6.454411e+03 1.710419e+04 -137 898 1
0.000000e+00 CHS 1 3 2.118190e+05 6.454411e+03 1.710419e+04 -137 1263 1
0.000000e+00 CHS 1 4 0.000000e+00 0.000000e+00 0.000000e+00 258 259 0
0.000000e+00 CHS 1 5 0.000000e+00 0.000000e+00 0.000000e+00 227 1628 1
0.000000e+00 CHS 1 6 0.000000e+00 0.000000e+00 0.000000e+00 623 624 0
0.000000e+00 CHS 1 7 0.000000e+00 0.000000e+00 0.000000e+00 1630 1629 0
0.000000e+00 CHS 2 0 0.000000e+00 1.220315e+04 3.233834e+04 -137 168 0
0.000000e+00 CHS 2 1 0.000000e+00 1.220315e+04 3.233834e+04 -137 533 0
0.000000e+00 CHS 2 2 2.350620e+05 1.220315e+04 3.233834e+04 -137 898 0
